YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,SCHEDULED_TIME,DISTANCE,ARRIVAL_DELAY,DIVERTED,CANCELLED,AIRLINE_NAME,ORIGIN_AIRPORT_NAME,ORIGIN_CITY,ORIGIN_STATE,DEST_AIRPORT_NAME,DEST_CITY,DEST_STATE,FLIGHT_DATE,SCHED_DEP_HOUR,IS_DELAYED,IS_WEEKEND,SEASON,ROUTE
2015,12,23,3,AA,1739,PHX,JFK,1827,23.3,366.0,2318.0,30.3,0,0,American Airlines Inc.,Phoenix Sky Harbor International Airport,Phoenix,AZ,John F. Kennedy International Airport,New York,NY,2015-12-23,18,1,0,Invierno,PHX-JFK
2015,3,3,2,UA,2746,SFO,LAS,243,18.2,32.0,184.0,16.5,0,0,United Air Lines Inc.,San Francisco International Airport,San Francisco,CA,McCarran International Airport,Las Vegas,NV,2015-03-03,2,1,0,Primavera,SFO-LAS
2015,8,1,6,UA,4786,ORD,LAX,2026,27.7,97.0,629.0,22.7,0,0,United Air Lines Inc.,Chicago O'Hare International Airport,Chicago,IL,Los Angeles International Airport,Los Angeles,CA,2015-08-01,20,1,1,Verano,ORD-LAX
2015,6,1,1,UA,4857,PHX,DFW,535,6.7,155.0,870.0,12.8,0,0,United Air Lines Inc.,Phoenix Sky Harbor International Airport,Phoenix,AZ,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,2015-06-01,5,0,0,Verano,PHX-DFW
2015,10,19,1,B6,5567,BOS,ATL,616,-3.4,93.0,634.0,-8.6,0,0,JetBlue Airways,Logan International Airport,Boston,MA,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2015-10-19,6,0,0,Otono,BOS-ATL
2015,4,29,3,AA,3975,DFW,LAX,1149,22.4,234.0,1383.0,22.4,0,0,American Airlines Inc.,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,Los Angeles International Airport,Los Angeles,CA,2015-04-29,11,1,0,Primavera,DFW-LAX
2015,5,23,6,UA,4839,MCO,ATL,2139,9.3,58.0,331.0,7.8,0,0,United Air Lines Inc.,Orlando International Airport,Orlando,FL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2015-05-23,21,0,1,Primavera,MCO-ATL
2015,9,28,1,HA,2586,ORD,MIA,2305,10.0,359.0,2471.0,15.8,0,0,Hawaiian Airlines Inc.,Chicago O'Hare International Airport,Chicago,IL,Miami International Airport,Miami,FL,2015-09-28,23,0,0,Otono,ORD-MIA
2015,12,1,2,WN,1434,MCO,LAS,1921,11.9,406.0,2623.0,23.5,0,0,Southwest Airlines Co.,Orlando International Airport,Orlando,FL,McCarran International Airport,Las Vegas,NV,2015-12-01,19,0,0,Invierno,MCO-LAS
2015,4,22,3,AS,3765,SFO,LAX,1406,-6.7,188.0,1277.0,-9.7,0,0,Alaska Airlines Inc.,San Francisco International Airport,San Francisco,CA,Los Angeles International Airport,Los Angeles,CA,2015-04-22,14,0,0,Primavera,SFO-LAX
2015,2,28,6,OO,1702,PHX,BOS,404,10.5,140.0,771.0,14.0,0,0,Skywest Airlines Inc.,Phoenix Sky Harbor International Airport,Phoenix,AZ,Logan International Airport,Boston,MA,2015-02-28,4,0,1,Invierno,PHX-BOS
2015,10,11,7,AA,5283,DEN,LAS,1343,13.3,342.0,2699.0,16.6,0,0,American Airlines Inc.,Denver International Airport,Denver,CO,McCarran International Airport,Las Vegas,NV,2015-10-11,13,0,1,Otono,DEN-LAS
2015,4,26,7,AA,6845,JFK,SEA,359,16.4,46.0,178.0,17.6,0,0,American Airlines Inc.,John F. Kennedy International Airport,New York,NY,Seattle-Tacoma International Airport,Seattle,WA,2015-04-26,3,1,1,Primavera,JFK-SEA
2015,1,1,4,HA,2196,DFW,MIA,1752,1.9,126.0,721.0,0.2,0,0,Hawaiian Airlines Inc.,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,Miami International Airport,Miami,FL,2015-01-01,17,0,0,Invierno,DFW-MIA
2015,1,22,4,B6,3887,CLT,LAX,1600,8.6,321.0,2138.0,3.5,0,0,JetBlue Airways,Charlotte Douglas International Airport,Charlotte,NC,Los Angeles International Airport,Los Angeles,CA,2015-01-22,16,0,0,Invierno,CLT-LAX
2015,11,12,4,AA,2598,IAH,LAX,2347,38.2,321.0,2004.0,37.8,0,0,American Airlines Inc.,George Bush Intercontinental Airport,Houston,TX,Los Angeles International Airport,Los Angeles,CA,2015-11-12,23,1,0,Otono,IAH-LAX
2015,7,16,4,B6,3580,LAS,ORD,101,2.1,146.0,1073.0,12.5,0,0,JetBlue Airways,McCarran International Airport,Las Vegas,NV,Chicago O'Hare International Airport,Chicago,IL,2015-07-16,1,0,0,Verano,LAS-ORD
2015,4,4,6,B6,1037,IAH,SEA,2143,15.2,370.0,2332.0,9.7,0,0,JetBlue Airways,George Bush Intercontinental Airport,Houston,TX,Seattle-Tacoma International Airport,Seattle,WA,2015-04-04,21,1,1,Primavera,IAH-SEA
2015,7,2,4,DL,6864,DEN,MCO,1627,12.5,336.0,2513.0,12.1,0,0,Delta Air Lines Inc.,Denver International Airport,Denver,CO,Orlando International Airport,Orlando,FL,2015-07-02,16,0,0,Verano,DEN-MCO
2015,11,15,7,WN,3832,PHX,MCO,1420,-23.7,101.0,480.0,-15.9,0,0,Southwest Airlines Co.,Phoenix Sky Harbor International Airport,Phoenix,AZ,Orlando International Airport,Orlando,FL,2015-11-15,14,0,1,Otono,PHX-MCO
2015,7,16,4,UA,639,SEA,IAH,1548,18.0,307.0,2056.0,14.3,0,0,United Air Lines Inc.,Seattle-Tacoma International Airport,Seattle,WA,George Bush Intercontinental Airport,Houston,TX,2015-07-16,15,1,0,Verano,SEA-IAH
2015,10,19,1,WN,5890,LAX,SFO,833,-5.5,120.0,799.0,-3.5,0,0,Southwest Airlines Co.,Los Angeles International Airport,Los Angeles,CA,San Francisco International Airport,San Francisco,CA,2015-10-19,8,0,0,Otono,LAX-SFO
2015,7,7,2,NK,3279,MIA,SFO,623,10.7,362.0,2351.0,19.4,0,0,Spirit Air Lines,Miami International Airport,Miami,FL,San Francisco International Airport,San Francisco,CA,2015-07-07,6,0,0,Verano,MIA-SFO
2015,6,24,3,DL,5888,ATL,SFO,1206,5.7,218.0,1268.0,3.5,0,0,Delta Air Lines Inc.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,San Francisco International Airport,San Francisco,CA,2015-06-24,12,0,0,Verano,ATL-SFO
2015,5,7,4,WN,3629,SFO,MIA,248,-15.5,130.0,727.0,-25.4,0,0,Southwest Airlines Co.,San Francisco International Airport,San Francisco,CA,Miami International Airport,Miami,FL,2015-05-07,2,0,0,Primavera,SFO-MIA
2015,5,27,3,AS,28,DEN,BOS,1116,9.1,249.0,1475.0,16.3,0,0,Alaska Airlines Inc.,Denver International Airport,Denver,CO,Logan International Airport,Boston,MA,2015-05-27,11,0,0,Primavera,DEN-BOS
2015,7,5,7,HA,1320,MCO,JFK,1145,9.5,176.0,1147.0,3.2,0,0,Hawaiian Airlines Inc.,Orlando International Airport,Orlando,FL,John F. Kennedy International Airport,New York,NY,2015-07-05,11,0,1,Verano,MCO-JFK
2015,10,28,3,WN,4040,BOS,DEN,239,-6.4,90.0,524.0,3.5,0,0,Southwest Airlines Co.,Logan International Airport,Boston,MA,Denver International Airport,Denver,CO,2015-10-28,2,0,0,Otono,BOS-DEN
2015,3,28,6,UA,4147,MIA,LAS,245,-14.4,226.0,1732.0,-21.5,0,0,United Air Lines Inc.,Miami International Airport,Miami,FL,McCarran International Airport,Las Vegas,NV,2015-03-28,2,0,1,Primavera,MIA-LAS
2015,9,6,7,AA,3456,ORD,MCO,1601,24.4,253.0,1692.0,26.1,0,0,American Airlines Inc.,Chicago O'Hare International Airport,Chicago,IL,Orlando International Airport,Orlando,FL,2015-09-06,16,1,1,Otono,ORD-MCO
2015,7,11,6,UA,3514,DEN,CLT,1931,35.7,197.0,1266.0,36.9,0,0,United Air Lines Inc.,Denver International Airport,Denver,CO,Charlotte Douglas International Airport,Charlotte,NC,2015-07-11,19,1,1,Verano,DEN-CLT
2015,6,13,6,OO,4907,JFK,LAX,1608,24.7,229.0,1503.0,27.6,0,0,Skywest Airlines Inc.,John F. Kennedy International Airport,New York,NY,Los Angeles International Airport,Los Angeles,CA,2015-06-13,16,1,1,Verano,JFK-LAX
2015,8,9,7,DL,970,LAX,JFK,1759,10.3,173.0,1184.0,7.6,0,0,Delta Air Lines Inc.,Los Angeles International Airport,Los Angeles,CA,John F. Kennedy International Airport,New York,NY,2015-08-09,17,0,1,Verano,LAX-JFK
2015,8,2,7,UA,607,LAX,BOS,855,4.5,69.0,301.0,4.4,0,0,United Air Lines Inc.,Los Angeles International Airport,Los Angeles,CA,Logan International Airport,Boston,MA,2015-08-02,8,0,1,Verano,LAX-BOS
2015,1,18,7,AA,624,CLT,SEA,941,7.4,142.0,840.0,11.2,0,0,American Airlines Inc.,Charlotte Douglas International Airport,Charlotte,NC,Seattle-Tacoma International Airport,Seattle,WA,2015-01-18,9,0,1,Invierno,CLT-SEA
2015,9,30,3,AS,5870,PHX,SEA,1424,11.8,306.0,2177.0,7.6,0,0,Alaska Airlines Inc.,Phoenix Sky Harbor International Airport,Phoenix,AZ,Seattle-Tacoma International Airport,Seattle,WA,2015-09-30,14,0,0,Otono,PHX-SEA
2015,6,29,1,AS,3543,JFK,MCO,258,34.9,283.0,2078.0,39.4,0,0,Alaska Airlines Inc.,John F. Kennedy International Airport,New York,NY,Orlando International Airport,Orlando,FL,2015-06-29,2,1,0,Verano,JFK-MCO
2015,11,30,1,UA,3870,MCO,LAX,1950,8.5,347.0,2612.0,7.4,0,0,United Air Lines Inc.,Orlando International Airport,Orlando,FL,Los Angeles International Airport,Los Angeles,CA,2015-11-30,19,0,0,Otono,MCO-LAX
2015,6,26,5,DL,154,LAS,LAX,852,8.6,291.0,2121.0,2.8,0,0,Delta Air Lines Inc.,McCarran International Airport,Las Vegas,NV,Los Angeles International Airport,Los Angeles,CA,2015-06-26,8,0,0,Verano,LAS-LAX
2015,11,18,3,AS,2507,LAS,CLT,724,7.3,211.0,1573.0,12.4,0,0,Alaska Airlines Inc.,McCarran International Airport,Las Vegas,NV,Charlotte Douglas International Airport,Charlotte,NC,2015-11-18,7,0,0,Otono,LAS-CLT
2015,9,3,4,NK,940,ORD,LAS,1623,12.4,255.0,1611.0,11.4,0,0,Spirit Air Lines,Chicago O'Hare International Airport,Chicago,IL,McCarran International Airport,Las Vegas,NV,2015-09-03,16,0,0,Otono,ORD-LAS
2015,11,20,5,WN,139,DFW,CLT,308,-7.0,77.0,492.0,-12.3,0,0,Southwest Airlines Co.,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,Charlotte Douglas International Airport,Charlotte,NC,2015-11-20,3,0,0,Otono,DFW-CLT
2015,1,17,6,F9,5528,ORD,LAX,2347,12.7,294.0,1756.0,13.7,0,0,Frontier Airlines Inc.,Chicago O'Hare International Airport,Chicago,IL,Los Angeles International Airport,Los Angeles,CA,2015-01-17,23,0,1,Invierno,ORD-LAX
2015,8,14,5,DL,1203,LAS,ATL,1856,32.1,115.0,733.0,35.8,0,0,Delta Air Lines Inc.,McCarran International Airport,Las Vegas,NV,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2015-08-14,18,1,0,Verano,LAS-ATL
2015,5,1,5,NK,6515,MCO,SFO,619,-0.0,387.0,2412.0,0.4,0,0,Spirit Air Lines,Orlando International Airport,Orlando,FL,San Francisco International Airport,San Francisco,CA,2015-05-01,6,0,0,Primavera,MCO-SFO
2015,3,17,2,B6,4332,BOS,MIA,2316,24.9,182.0,1056.0,22.6,0,0,JetBlue Airways,Logan International Airport,Boston,MA,Miami International Airport,Miami,FL,2015-03-17,23,1,0,Primavera,BOS-MIA
2015,3,24,2,NK,4594,JFK,LAS,640,21.5,59.0,180.0,25.3,0,0,Spirit Air Lines,John F. Kennedy International Airport,New York,NY,McCarran International Airport,Las Vegas,NV,2015-03-24,6,1,0,Primavera,JFK-LAS
2015,10,20,2,UA,3009,IAH,DEN,257,-2.4,183.0,1207.0,-2.5,0,0,United Air Lines Inc.,George Bush Intercontinental Airport,Houston,TX,Denver International Airport,Denver,CO,2015-10-20,2,0,0,Otono,IAH-DEN
2015,2,8,7,UA,5531,CLT,IAH,809,8.1,76.0,296.0,10.4,0,0,United Air Lines Inc.,Charlotte Douglas International Airport,Charlotte,NC,George Bush Intercontinental Airport,Houston,TX,2015-02-08,8,0,1,Invierno,CLT-IAH
2015,8,19,3,HA,4186,BOS,SFO,1001,-8.9,130.0,812.0,-16.8,0,0,Hawaiian Airlines Inc.,Logan International Airport,Boston,MA,San Francisco International Airport,San Francisco,CA,2015-08-19,10,0,0,Verano,BOS-SFO
2015,3,22,7,HA,2401,LAX,PHX,500,-14.9,339.0,2473.0,-16.8,0,0,Hawaiian Airlines Inc.,Los Angeles International Airport,Los Angeles,CA,Phoenix Sky Harbor International Airport,Phoenix,AZ,2015-03-22,5,0,1,Primavera,LAX-PHX
2015,6,28,7,WN,4244,MCO,LAX,335,-5.4,185.0,1258.0,-15.5,0,0,Southwest Airlines Co.,Orlando International Airport,Orlando,FL,Los Angeles International Airport,Los Angeles,CA,2015-06-28,3,0,1,Verano,MCO-LAX
2015,4,8,3,OO,2996,PHX,LAX,2305,10.3,348.0,2289.0,6.2,0,0,Skywest Airlines Inc.,Phoenix Sky Harbor International Airport,Phoenix,AZ,Los Angeles International Airport,Los Angeles,CA,2015-04-08,23,0,0,Primavera,PHX-LAX
2015,1,22,4,AS,6702,CLT,BOS,1958,42.8,233.0,1609.0,39.8,0,0,Alaska Airlines Inc.,Charlotte Douglas International Airport,Charlotte,NC,Logan International Airport,Boston,MA,2015-01-22,19,1,0,Invierno,CLT-BOS
2015,4,27,1,NK,1523,JFK,PHX,1327,17.2,69.0,240.0,22.1,0,0,Spirit Air Lines,John F. Kennedy International Airport,New York,NY,Phoenix Sky Harbor International Airport,Phoenix,AZ,2015-04-27,13,1,0,Primavera,JFK-PHX
2015,9,2,3,WN,4940,JFK,MCO,1251,-18.0,133.0,742.0,-15.2,0,0,Southwest Airlines Co.,John F. Kennedy International Airport,New York,NY,Orlando International Airport,Orlando,FL,2015-09-02,12,0,0,Otono,JFK-MCO
2015,4,24,5,AS,1747,SFO,CLT,850,-6.2,349.0,2615.0,-5.6,0,0,Alaska Airlines Inc.,San Francisco International Airport,San Francisco,CA,Charlotte Douglas International Airport,Charlotte,NC,2015-04-24,8,0,0,Primavera,SFO-CLT
2015,12,27,7,AA,1375,LAX,IAH,1518,31.4,208.0,1435.0,40.1,0,0,American Airlines Inc.,Los Angeles International Airport,Los Angeles,CA,George Bush Intercontinental Airport,Houston,TX,2015-12-27,15,1,1,Invierno,LAX-IAH
2015,10,22,4,WN,4155,SFO,BOS,820,-10.3,326.0,2230.0,-10.7,0,0,Southwest Airlines Co.,San Francisco International Airport,San Francisco,CA,Logan International Airport,Boston,MA,2015-10-22,8,0,0,Otono,SFO-BOS
2015,1,22,4,DL,2382,CLT,PHX,600,-11.8,281.0,2238.0,-2.1,0,0,Delta Air Lines Inc.,Charlotte Douglas International Airport,Charlotte,NC,Phoenix Sky Harbor International Airport,Phoenix,AZ,2015-01-22,6,0,0,Invierno,CLT-PHX
2015,4,10,5,AS,2898,CLT,DFW,2318,8.1,246.0,1421.0,12.0,0,0,Alaska Airlines Inc.,Charlotte Douglas International Airport,Charlotte,NC,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,2015-04-10,23,0,0,Primavera,CLT-DFW
2015,6,15,1,DL,3315,LAX,MIA,157,14.4,312.0,2517.0,18.8,0,0,Delta Air Lines Inc.,Los Angeles International Airport,Los Angeles,CA,Miami International Airport,Miami,FL,2015-06-15,1,0,0,Verano,LAX-MIA
2015,7,23,4,HA,4788,MIA,DFW,112,21.7,114.0,620.0,21.1,0,0,Hawaiian Airlines Inc.,Miami International Airport,Miami,FL,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,2015-07-23,1,1,0,Verano,MIA-DFW
2015,10,28,3,UA,5424,MCO,DEN,1119,-5.9,294.0,1962.0,-8.2,0,0,United Air Lines Inc.,Orlando International Airport,Orlando,FL,Denver International Airport,Denver,CO,2015-10-28,11,0,0,Otono,MCO-DEN
2015,4,20,1,UA,4585,LAX,DFW,404,2.3,339.0,2692.0,6.6,0,0,United Air Lines Inc.,Los Angeles International Airport,Los Angeles,CA,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,2015-04-20,4,0,0,Primavera,LAX-DFW
2015,2,6,5,UA,5430,SFO,SEA,1318,1.3,235.0,1696.0,8.2,0,0,United Air Lines Inc.,San Francisco International Airport,San Francisco,CA,Seattle-Tacoma International Airport,Seattle,WA,2015-02-06,13,0,0,Invierno,SFO-SEA
2015,3,31,2,B6,327,MIA,PHX,125,2.4,180.0,1158.0,2.5,0,0,JetBlue Airways,Miami International Airport,Miami,FL,Phoenix Sky Harbor International Airport,Phoenix,AZ,2015-03-31,1,0,0,Primavera,MIA-PHX
2015,12,21,1,DL,3709,BOS,DEN,1715,36.0,239.0,1644.0,47.6,0,0,Delta Air Lines Inc.,Logan International Airport,Boston,MA,Denver International Airport,Denver,CO,2015-12-21,17,1,0,Invierno,BOS-DEN
2015,7,5,7,NK,5017,MCO,CLT,2005,24.1,147.0,984.0,29.8,0,0,Spirit Air Lines,Orlando International Airport,Orlando,FL,Charlotte Douglas International Airport,Charlotte,NC,2015-07-05,20,1,1,Verano,MCO-CLT
2015,9,4,5,DL,160,JFK,PHX,1002,-10.8,210.0,1365.0,-9.4,0,0,Delta Air Lines Inc.,John F. Kennedy International Airport,New York,NY,Phoenix Sky Harbor International Airport,Phoenix,AZ,2015-09-04,10,0,0,Otono,JFK-PHX
2015,8,7,5,WN,1677,MIA,ATL,1121,2.0,263.0,1642.0,6.7,0,0,Southwest Airlines Co.,Miami International Airport,Miami,FL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2015-08-07,11,0,0,Verano,MIA-ATL
2015,4,13,1,AA,2397,PHX,SEA,409,22.9,308.0,2140.0,21.4,0,0,American Airlines Inc.,Phoenix Sky Harbor International Airport,Phoenix,AZ,Seattle-Tacoma International Airport,Seattle,WA,2015-04-13,4,1,0,Primavera,PHX-SEA
2015,1,13,2,DL,4314,IAH,DFW,1116,-15.4,60.0,323.0,-14.0,0,0,Delta Air Lines Inc.,George Bush Intercontinental Airport,Houston,TX,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,2015-01-13,11,0,0,Invierno,IAH-DFW
2015,6,29,1,B6,2778,JFK,CLT,1938,27.2,346.0,2451.0,29.6,0,0,JetBlue Airways,John F. Kennedy International Airport,New York,NY,Charlotte Douglas International Airport,Charlotte,NC,2015-06-29,19,1,0,Verano,JFK-CLT
2015,2,2,1,HA,1695,LAS,LAX,1718,5.3,355.0,2219.0,19.2,0,0,Hawaiian Airlines Inc.,McCarran International Airport,Las Vegas,NV,Los Angeles International Airport,Los Angeles,CA,2015-02-02,17,0,0,Invierno,LAS-LAX
2015,2,5,4,UA,4218,IAH,ORD,351,2.5,337.0,2437.0,5.4,0,0,United Air Lines Inc.,George Bush Intercontinental Airport,Houston,TX,Chicago O'Hare International Airport,Chicago,IL,2015-02-05,3,0,0,Invierno,IAH-ORD
2015,2,9,1,AS,3131,ATL,PHX,1653,9.1,168.0,1097.0,15.3,0,0,Alaska Airlines Inc.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,Phoenix Sky Harbor International Airport,Phoenix,AZ,2015-02-09,16,0,0,Invierno,ATL-PHX
2015,2,28,6,DL,1650,CLT,SEA,245,-0.2,58.0,376.0,0.6,0,0,Delta Air Lines Inc.,Charlotte Douglas International Airport,Charlotte,NC,Seattle-Tacoma International Airport,Seattle,WA,2015-02-28,2,0,1,Invierno,CLT-SEA
2015,8,28,5,AA,2043,LAX,SEA,508,18.9,238.0,1726.0,11.5,0,0,American Airlines Inc.,Los Angeles International Airport,Los Angeles,CA,Seattle-Tacoma International Airport,Seattle,WA,2015-08-28,5,1,0,Verano,LAX-SEA
2015,6,27,6,UA,2439,DFW,IAH,1949,32.1,182.0,1232.0,30.8,0,0,United Air Lines Inc.,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,George Bush Intercontinental Airport,Houston,TX,2015-06-27,19,1,1,Verano,DFW-IAH
2015,11,15,7,UA,5040,ATL,LAS,1059,-1.0,66.0,296.0,8.4,0,0,United Air Lines Inc.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,McCarran International Airport,Las Vegas,NV,2015-11-15,10,0,1,Otono,ATL-LAS
2015,10,31,6,B6,2398,MIA,PHX,643,13.3,286.0,1698.0,20.5,0,0,JetBlue Airways,Miami International Airport,Miami,FL,Phoenix Sky Harbor International Airport,Phoenix,AZ,2015-10-31,6,0,1,Otono,MIA-PHX
2015,3,10,2,WN,3486,DEN,CLT,2137,22.6,160.0,1043.0,25.7,0,0,Southwest Airlines Co.,Denver International Airport,Denver,CO,Charlotte Douglas International Airport,Charlotte,NC,2015-03-10,21,1,0,Primavera,DEN-CLT
2015,5,27,3,AA,5744,BOS,SFO,1232,46.1,172.0,1044.0,46.9,0,0,American Airlines Inc.,Logan International Airport,Boston,MA,San Francisco International Airport,San Francisco,CA,2015-05-27,12,1,0,Primavera,BOS-SFO
2015,9,11,5,UA,1777,SEA,DEN,639,-6.9,171.0,1081.0,-17.5,0,0,United Air Lines Inc.,Seattle-Tacoma International Airport,Seattle,WA,Denver International Airport,Denver,CO,2015-09-11,6,0,0,Otono,SEA-DEN
2015,6,4,4,DL,3258,JFK,SFO,2142,16.3,227.0,1548.0,13.4,0,0,Delta Air Lines Inc.,John F. Kennedy International Airport,New York,NY,San Francisco International Airport,San Francisco,CA,2015-06-04,21,1,0,Verano,JFK-SFO
2015,4,8,3,UA,1579,SEA,CLT,905,3.2,259.0,1530.0,2.4,0,0,United Air Lines Inc.,Seattle-Tacoma International Airport,Seattle,WA,Charlotte Douglas International Airport,Charlotte,NC,2015-04-08,9,0,0,Primavera,SEA-CLT
2015,8,21,5,DL,724,PHX,MCO,616,1.6,106.0,614.0,6.6,0,0,Delta Air Lines Inc.,Phoenix Sky Harbor International Airport,Phoenix,AZ,Orlando International Airport,Orlando,FL,2015-08-21,6,0,0,Verano,PHX-MCO
2015,4,10,5,UA,1988,DEN,LAS,447,1.1,284.0,1919.0,1.0,0,0,United Air Lines Inc.,Denver International Airport,Denver,CO,McCarran International Airport,Las Vegas,NV,2015-04-10,4,0,0,Primavera,DEN-LAS
2015,2,8,7,DL,4338,CLT,MCO,2213,27.4,141.0,1062.0,31.4,0,0,Delta Air Lines Inc.,Charlotte Douglas International Airport,Charlotte,NC,Orlando International Airport,Orlando,FL,2015-02-08,22,1,1,Invierno,CLT-MCO
2015,12,24,4,AA,3824,LAX,BOS,419,21.0,247.0,1813.0,24.6,0,0,American Airlines Inc.,Los Angeles International Airport,Los Angeles,CA,Logan International Airport,Boston,MA,2015-12-24,4,1,0,Invierno,LAX-BOS
2015,12,23,3,DL,2783,MCO,LAX,336,1.0,382.0,2292.0,-3.9,0,0,Delta Air Lines Inc.,Orlando International Airport,Orlando,FL,Los Angeles International Airport,Los Angeles,CA,2015-12-23,3,0,0,Invierno,MCO-LAX
2015,6,3,3,AS,6598,ORD,DEN,2147,56.3,253.0,1569.0,62.9,0,0,Alaska Airlines Inc.,Chicago O'Hare International Airport,Chicago,IL,Denver International Airport,Denver,CO,2015-06-03,21,1,0,Verano,ORD-DEN
2015,2,22,7,AS,4643,MCO,CLT,938,3.0,243.0,1587.0,-1.3,0,0,Alaska Airlines Inc.,Orlando International Airport,Orlando,FL,Charlotte Douglas International Airport,Charlotte,NC,2015-02-22,9,0,1,Invierno,MCO-CLT
2015,11,27,5,UA,1189,MIA,ATL,1155,-1.6,85.0,379.0,-3.5,0,0,United Air Lines Inc.,Miami International Airport,Miami,FL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,2015-11-27,11,0,0,Otono,MIA-ATL
2015,9,14,1,HA,3470,LAS,ORD,1451,22.2,267.0,2081.0,18.6,0,0,Hawaiian Airlines Inc.,McCarran International Airport,Las Vegas,NV,Chicago O'Hare International Airport,Chicago,IL,2015-09-14,14,1,0,Otono,LAS-ORD
