MONTH,DAY_OF_WEEK,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,DISTANCE,IS_DELAYED,SCHED_DEP_HOUR,IS_WEEKEND,SEASON,ROUTE
12,7,UA,LAX,SFO,2035,23.8,297,1,20,1,Invierno,LAX-SFO
6,7,UA,JFK,LAX,2326,32.3,2192,1,23,1,Verano,JFK-LAX
5,1,UA,JFK,IAH,1402,-1.9,1821,0,14,0,Primavera,JFK-IAH
12,3,NK,PHX,BOS,1420,25.5,1911,1,14,0,Invierno,PHX-BOS
1,6,UA,ORD,DFW,2202,26.1,2284,1,22,1,Invierno,ORD-DFW
11,5,WN,SFO,LAX,1342,8.9,617,0,13,0,Otono,SFO-LAX
6,3,B6,BOS,MCO,1444,9.7,1042,0,14,0,Verano,BOS-MCO
5,3,NK,PHX,DEN,1858,19.3,1397,1,18,0,Primavera,PHX-DEN
11,1,AA,PHX,LAX,2133,48.0,2094,1,21,0,Otono,PHX-LAX
8,1,AS,CLT,ATL,1223,8.4,315,0,12,0,Verano,CLT-ATL
4,6,UA,LAS,MIA,2311,21.9,2110,1,23,1,Primavera,LAS-MIA
1,1,UA,BOS,MIA,558,17.1,1911,1,5,0,Invierno,BOS-MIA
11,2,HA,IAH,MIA,538,-0.6,369,0,5,0,Otono,IAH-MIA
4,2,AS,JFK,DEN,203,15.6,819,1,2,0,Primavera,JFK-DEN
10,2,B6,CLT,BOS,1026,15.1,2216,1,10,0,Otono,CLT-BOS
1,1,AS,MCO,MIA,240,43.7,170,1,2,0,Invierno,MCO-MIA
9,3,UA,LAX,SEA,1919,15.5,895,1,19,0,Otono,LAX-SEA
6,3,UA,LAS,JFK,2200,42.6,1298,1,22,0,Verano,LAS-JFK
7,2,F9,SFO,PHX,2339,29.6,1268,1,23,0,Verano,SFO-PHX
9,1,OO,DFW,SEA,1944,9.1,2511,0,19,0,Otono,DFW-SEA
8,7,AS,LAS,BOS,1000,22.1,2639,1,10,1,Verano,LAS-BOS
5,5,DL,JFK,BOS,707,-13.7,1747,0,7,0,Primavera,JFK-BOS
4,6,UA,LAX,MCO,1005,-1.4,2062,0,10,1,Primavera,LAX-MCO
6,4,UA,IAH,LAS,414,-4.2,1198,0,4,0,Verano,IAH-LAS
7,6,NK,PHX,SEA,1209,44.5,1064,1,12,1,Verano,PHX-SEA
10,6,AS,SEA,ORD,522,10.3,582,0,5,1,Otono,SEA-ORD
2,2,AS,DEN,MCO,1230,-12.4,228,0,12,0,Invierno,DEN-MCO
9,1,UA,IAH,BOS,934,2.3,439,0,9,0,Otono,IAH-BOS
2,5,UA,MCO,MIA,2309,25.1,480,1,23,0,Invierno,MCO-MIA
9,7,B6,DEN,JFK,1533,2.8,1634,0,15,1,Otono,DEN-JFK
12,7,UA,ORD,LAS,2221,22.3,2255,1,22,1,Invierno,ORD-LAS
12,2,NK,LAS,IAH,220,-1.1,2229,0,2,0,Invierno,LAS-IAH
3,7,DL,MIA,ATL,428,-13.1,2620,0,4,1,Primavera,MIA-ATL
12,1,HA,LAX,MCO,832,6.4,2223,0,8,0,Invierno,LAX-MCO
4,4,NK,IAH,BOS,2228,13.3,163,0,22,0,Primavera,IAH-BOS
6,5,WN,DFW,JFK,437,-13.5,1579,0,4,0,Verano,DFW-JFK
4,4,UA,MCO,IAH,1822,29.6,273,1,18,0,Primavera,MCO-IAH
1,3,UA,CLT,DFW,550,-18.5,2370,0,5,0,Invierno,CLT-DFW
8,3,DL,DFW,JFK,1155,22.6,1257,1,11,0,Verano,DFW-JFK
12,6,WN,BOS,ATL,528,-15.0,2025,0,5,1,Invierno,BOS-ATL
6,7,NK,JFK,MIA,626,21.8,1904,1,6,1,Verano,JFK-MIA
4,3,AA,ATL,PHX,2359,36.7,1110,1,23,0,Primavera,ATL-PHX
4,3,AA,LAX,MIA,1050,21.5,820,1,10,0,Primavera,LAX-MIA
9,2,AS,MIA,DEN,1235,19.7,1039,1,12,0,Otono,MIA-DEN
8,5,AA,ORD,LAX,1357,46.6,2528,1,13,0,Verano,ORD-LAX
9,7,DL,PHX,CLT,1104,6.2,2177,0,11,1,Otono,PHX-CLT
10,6,UA,DEN,IAH,436,-5.1,2529,0,4,1,Otono,DEN-IAH
8,3,UA,LAS,SEA,1536,28.9,2654,1,15,0,Verano,LAS-SEA
6,3,AS,BOS,SEA,302,7.7,1742,0,3,0,Verano,BOS-SEA
10,1,F9,SEA,SFO,1643,10.5,1936,0,16,0,Otono,SEA-SFO
7,2,OO,MCO,SFO,2057,46.4,2223,1,20,0,Verano,MCO-SFO
10,1,AA,ORD,ATL,502,12.4,492,0,5,0,Otono,ORD-ATL
6,1,HA,LAS,ORD,311,5.2,925,0,3,0,Verano,LAS-ORD
4,2,B6,JFK,SFO,405,16.1,1287,1,4,0,Primavera,JFK-SFO
8,7,DL,LAS,DEN,1536,21.4,1455,1,15,1,Verano,LAS-DEN
11,1,F9,DFW,BOS,2013,27.2,792,1,20,0,Otono,DFW-BOS
8,2,AS,LAX,SFO,834,9.0,1690,0,8,0,Verano,LAX-SFO
3,7,AS,JFK,PHX,1753,14.6,301,0,17,1,Primavera,JFK-PHX
2,4,UA,MCO,ORD,625,-1.6,254,0,6,0,Invierno,MCO-ORD
2,4,F9,ORD,LAS,2321,11.7,2522,0,23,0,Invierno,ORD-LAS
9,7,B6,SEA,BOS,27,-6.0,2361,0,0,1,Otono,SEA-BOS
4,4,HA,DEN,BOS,411,-18.9,2236,0,4,0,Primavera,DEN-BOS
8,7,UA,ORD,MCO,2205,42.0,1404,1,22,1,Verano,ORD-MCO
3,1,UA,ORD,CLT,1833,10.2,1496,0,18,0,Primavera,ORD-CLT
10,6,UA,SEA,BOS,1824,-2.8,697,0,18,1,Otono,SEA-BOS
1,6,UA,MIA,DEN,705,-5.5,852,0,7,1,Invierno,MIA-DEN
9,5,UA,MCO,IAH,713,-2.8,2048,0,7,0,Otono,MCO-IAH
6,5,DL,SFO,MIA,1449,-5.0,2535,0,14,0,Verano,SFO-MIA
12,2,DL,SFO,DEN,433,27.6,2280,1,4,0,Invierno,SFO-DEN
9,2,F9,BOS,IAH,1449,-20.8,2124,0,14,0,Otono,BOS-IAH
5,2,UA,BOS,MIA,1,10.1,2585,0,0,0,Primavera,BOS-MIA
10,2,NK,JFK,ORD,53,22.8,1473,1,0,0,Otono,JFK-ORD
12,6,NK,JFK,BOS,1832,31.8,1701,1,18,1,Invierno,JFK-BOS
3,4,B6,PHX,LAS,554,5.0,229,0,5,0,Primavera,PHX-LAS
3,6,UA,LAS,SEA,935,-0.5,734,0,9,1,Primavera,LAS-SEA
5,6,AS,IAH,DFW,1443,-9.3,1025,0,14,1,Primavera,IAH-DFW
7,6,NK,PHX,CLT,1231,17.1,2311,1,12,1,Verano,PHX-CLT
4,1,DL,LAX,DFW,850,-12.6,1003,0,8,0,Primavera,LAX-DFW
10,4,DL,PHX,DEN,2105,41.0,973,1,21,0,Otono,PHX-DEN
10,7,UA,ORD,MCO,1813,16.5,1771,1,18,1,Otono,ORD-MCO
12,5,NK,DEN,CLT,1539,38.2,1752,1,15,0,Invierno,DEN-CLT
1,2,HA,SEA,LAX,16,-9.2,1545,0,0,0,Invierno,SEA-LAX
7,6,OO,MCO,PHX,156,6.2,2039,0,1,1,Verano,MCO-PHX
10,5,WN,CLT,LAS,44,2.2,1990,0,0,0,Otono,CLT-LAS
5,5,UA,SEA,JFK,442,35.6,645,1,4,0,Primavera,SEA-JFK
9,2,NK,SEA,ORD,1703,28.4,441,1,17,0,Otono,SEA-ORD
4,6,AA,PHX,LAX,124,17.9,2487,1,1,1,Primavera,PHX-LAX
8,4,WN,LAX,DFW,525,-3.3,991,0,5,0,Verano,LAX-DFW
3,2,UA,LAS,BOS,1323,-24.2,336,0,13,0,Primavera,LAS-BOS
12,4,UA,IAH,ORD,425,-6.6,2047,0,4,0,Invierno,IAH-ORD
1,4,UA,JFK,MCO,1712,9.6,353,0,17,0,Invierno,JFK-MCO
4,2,AA,BOS,ATL,2212,60.1,706,1,22,0,Primavera,BOS-ATL
9,2,UA,LAX,BOS,2053,16.3,1889,1,20,0,Otono,LAX-BOS
1,6,UA,ORD,DEN,935,9.4,1499,0,9,1,Invierno,ORD-DEN
3,3,UA,SFO,BOS,1350,-3.6,2383,0,13,0,Primavera,SFO-BOS
10,7,HA,MIA,CLT,819,12.4,1977,0,8,1,Otono,MIA-CLT
9,2,UA,LAX,DEN,1958,1.0,1417,0,19,0,Otono,LAX-DEN
3,2,F9,DEN,ORD,317,-9.5,1335,0,3,0,Primavera,DEN-ORD
10,1,NK,MCO,SEA,1940,24.1,1070,1,19,0,Otono,MCO-SEA
12,5,DL,DFW,DEN,55,24.7,1184,1,0,0,Invierno,DFW-DEN
7,5,AA,CLT,ATL,1729,32.4,1409,1,17,0,Verano,CLT-ATL
2,6,AA,ORD,DFW,1854,29.5,2182,1,18,1,Invierno,ORD-DFW
9,1,HA,IAH,CLT,1815,-7.0,1298,0,18,0,Otono,IAH-CLT
6,4,DL,SEA,DFW,1953,11.7,220,0,19,0,Verano,SEA-DFW
3,3,AA,DEN,CLT,1753,19.4,2183,1,17,0,Primavera,DEN-CLT
6,2,B6,LAX,LAS,1012,3.9,1084,0,10,0,Verano,LAX-LAS
4,5,WN,BOS,ORD,1643,14.4,1536,0,16,0,Primavera,BOS-ORD
9,4,UA,BOS,JFK,1924,22.4,1482,1,19,0,Otono,BOS-JFK
3,5,UA,DEN,MIA,1639,-16.4,404,0,16,0,Primavera,DEN-MIA
4,7,F9,IAH,DFW,2358,33.6,685,1,23,1,Primavera,IAH-DFW
3,7,B6,SFO,ATL,805,-13.2,489,0,8,1,Primavera,SFO-ATL
2,7,DL,CLT,DEN,1611,2.3,2386,0,16,1,Invierno,CLT-DEN
5,2,AS,ORD,ATL,425,-10.6,1201,0,4,0,Primavera,ORD-ATL
5,7,HA,CLT,BOS,1959,31.7,1948,1,19,1,Primavera,CLT-BOS
10,2,AA,IAH,DFW,310,18.9,2035,1,3,0,Otono,IAH-DFW
12,4,UA,ATL,MIA,2355,25.2,192,1,23,0,Invierno,ATL-MIA
7,3,NK,DFW,MIA,2222,33.9,1245,1,22,0,Verano,DFW-MIA
3,2,AA,LAX,JFK,1355,38.8,1979,1,13,0,Primavera,LAX-JFK
1,5,F9,LAS,CLT,711,-2.8,2303,0,7,0,Invierno,LAS-CLT
1,6,NK,JFK,BOS,313,27.8,2438,1,3,1,Invierno,JFK-BOS
12,6,OO,DFW,DEN,1554,32.9,1453,1,15,1,Invierno,DFW-DEN
12,4,DL,JFK,ATL,626,3.1,1998,0,6,0,Invierno,JFK-ATL
1,4,UA,JFK,LAX,2009,17.9,2557,1,20,0,Invierno,JFK-LAX
5,5,AA,DEN,CLT,1714,24.4,1645,1,17,0,Primavera,DEN-CLT
1,6,UA,IAH,ORD,1453,-6.1,1467,0,14,1,Invierno,IAH-ORD
7,6,AS,SEA,MIA,1852,23.7,2581,1,18,1,Verano,SEA-MIA
12,5,DL,ATL,BOS,109,5.5,1154,0,1,0,Invierno,ATL-BOS
12,2,UA,CLT,SEA,1346,27.8,2345,1,13,0,Invierno,CLT-SEA
11,1,B6,ORD,ATL,2155,16.0,1736,1,21,0,Otono,ORD-ATL
10,2,WN,ORD,DEN,2128,9.0,1923,0,21,0,Otono,ORD-DEN
7,2,HA,ORD,ATL,1557,14.7,1747,0,15,0,Verano,ORD-ATL
12,7,UA,CLT,BOS,1211,7.5,1269,0,12,1,Invierno,CLT-BOS
4,5,UA,BOS,LAX,911,15.6,2440,1,9,0,Primavera,BOS-LAX
10,5,UA,JFK,MCO,328,-0.3,974,0,3,0,Otono,JFK-MCO
8,6,WN,CLT,DEN,1938,8.8,2356,0,19,1,Verano,CLT-DEN
5,5,AA,IAH,PHX,1927,13.3,1602,0,19,0,Primavera,IAH-PHX
3,6,AS,LAS,SEA,1037,2.3,1924,0,10,1,Primavera,LAS-SEA
10,3,UA,LAS,MCO,1142,-15.9,339,0,11,0,Otono,LAS-MCO
1,3,UA,ATL,ORD,322,-6.5,1128,0,3,0,Invierno,ATL-ORD
11,7,DL,LAS,IAH,645,2.2,2583,0,6,1,Otono,LAS-IAH
1,5,AS,BOS,SEA,1852,15.0,1233,0,18,0,Invierno,BOS-SEA
1,5,AS,CLT,IAH,1437,24.6,1446,1,14,0,Invierno,CLT-IAH
11,6,UA,LAS,MIA,251,2.3,417,0,2,1,Otono,LAS-MIA
7,4,UA,ORD,MCO,350,-0.6,1052,0,3,0,Verano,ORD-MCO
9,5,UA,ATL,PHX,1316,2.5,1363,0,13,0,Otono,ATL-PHX
2,5,NK,BOS,MCO,145,0.4,1981,0,1,0,Invierno,BOS-MCO
4,1,NK,SFO,JFK,542,2.7,338,0,5,0,Primavera,SFO-JFK
1,3,F9,LAS,DFW,1237,-11.0,821,0,12,0,Invierno,LAS-DFW
5,7,UA,CLT,ATL,133,14.0,2572,0,1,1,Primavera,CLT-ATL
9,7,WN,SFO,LAS,1156,-8.5,1997,0,11,1,Otono,SFO-LAS
5,6,UA,MCO,PHX,1542,16.4,614,1,15,1,Primavera,MCO-PHX
12,3,HA,BOS,SEA,1454,21.3,1832,1,14,0,Invierno,BOS-SEA
1,7,WN,IAH,ATL,2342,-4.7,1876,0,23,1,Invierno,IAH-ATL
10,6,AA,MIA,SFO,1752,3.5,2217,0,17,1,Otono,MIA-SFO
12,2,OO,BOS,MIA,2050,44.2,1514,1,20,0,Invierno,BOS-MIA
9,5,AS,PHX,BOS,913,37.8,462,1,9,0,Otono,PHX-BOS
9,6,NK,MIA,LAX,2103,34.3,1990,1,21,1,Otono,MIA-LAX
8,3,NK,LAX,DFW,637,7.3,2636,0,6,0,Verano,LAX-DFW
2,1,AS,DFW,JFK,841,15.5,2205,1,8,0,Invierno,DFW-JFK
2,3,UA,ORD,MIA,1100,-12.0,2182,0,11,0,Invierno,ORD-MIA
10,1,HA,PHX,SFO,333,-1.7,1497,0,3,0,Otono,PHX-SFO
8,7,B6,MIA,LAX,1513,30.2,605,1,15,1,Verano,MIA-LAX
5,2,F9,CLT,SEA,100,-2.0,1610,0,1,0,Primavera,CLT-SEA
4,4,DL,DFW,JFK,1828,2.4,204,0,18,0,Primavera,DFW-JFK
11,1,UA,SEA,LAS,1834,21.1,316,1,18,0,Otono,SEA-LAS
2,6,AS,BOS,PHX,801,15.5,2254,1,8,1,Invierno,BOS-PHX
5,5,AA,MIA,CLT,18,9.5,1423,0,0,0,Primavera,MIA-CLT
10,5,AA,PHX,CLT,1553,39.4,506,1,15,0,Otono,PHX-CLT
6,3,B6,LAX,SFO,2141,57.4,1254,1,21,0,Verano,LAX-SFO
1,2,B6,ORD,PHX,226,27.9,1536,1,2,0,Invierno,ORD-PHX
11,3,WN,CLT,ATL,145,-14.7,1938,0,1,0,Otono,CLT-ATL
8,5,NK,LAX,PHX,2300,36.2,2132,1,23,0,Verano,LAX-PHX
1,4,DL,BOS,SFO,348,-17.2,490,0,3,0,Invierno,BOS-SFO
3,1,AA,PHX,IAH,1838,8.3,985,0,18,0,Primavera,PHX-IAH
12,3,UA,MIA,DFW,1031,2.5,403,0,10,0,Invierno,MIA-DFW
4,7,OO,LAX,SEA,1323,-0.8,1689,0,13,1,Primavera,LAX-SEA
10,4,DL,SEA,ATL,42,16.0,638,1,0,0,Otono,SEA-ATL
9,2,AS,BOS,ATL,1914,5.9,661,0,19,0,Otono,BOS-ATL
3,2,AS,IAH,DEN,426,-4.8,2225,0,4,0,Primavera,IAH-DEN
8,3,WN,MCO,CLT,1720,21.9,2585,1,17,0,Verano,MCO-CLT
7,1,WN,PHX,DFW,111,-8.8,2414,0,1,0,Verano,PHX-DFW
1,5,AA,SFO,MIA,122,10.7,1076,0,1,0,Invierno,SFO-MIA
7,6,UA,IAH,BOS,815,-0.6,2566,0,8,1,Verano,IAH-BOS
6,4,NK,LAS,SFO,1442,20.6,777,1,14,0,Verano,LAS-SFO
7,2,AS,BOS,SEA,1703,36.5,1152,1,17,0,Verano,BOS-SEA
12,5,AS,ATL,BOS,240,14.5,759,0,2,0,Invierno,ATL-BOS
11,3,AA,ATL,DFW,732,33.8,486,1,7,0,Otono,ATL-DFW
10,4,AS,ATL,PHX,2105,25.8,1299,1,21,0,Otono,ATL-PHX
9,4,OO,PHX,LAX,812,14.3,1647,0,8,0,Otono,PHX-LAX
6,1,F9,MCO,LAS,1153,20.7,2361,1,11,0,Verano,MCO-LAS
6,2,UA,MCO,DFW,331,20.5,2407,1,3,0,Verano,MCO-DFW
11,4,B6,DEN,IAH,1212,-12.8,427,0,12,0,Otono,DEN-IAH
10,1,UA,DFW,IAH,1745,12.0,2129,0,17,0,Otono,DFW-IAH
3,5,WN,CLT,MIA,1301,24.3,958,1,13,0,Primavera,CLT-MIA
4,3,B6,JFK,LAS,102,3.8,1176,0,1,0,Primavera,JFK-LAS
2,1,UA,MIA,IAH,1415,1.9,1411,0,14,0,Invierno,MIA-IAH
4,3,UA,ORD,DFW,2357,-5.8,2394,0,23,0,Primavera,ORD-DFW
11,3,HA,LAS,ATL,2139,-2.4,1301,0,21,0,Otono,LAS-ATL
10,3,UA,SEA,DEN,2354,10.6,2063,0,23,0,Otono,SEA-DEN
4,2,AA,MIA,LAS,1650,40.7,1223,1,16,0,Primavera,MIA-LAS
5,6,UA,PHX,ATL,1014,-13.7,231,0,10,1,Primavera,PHX-ATL
12,1,HA,LAX,IAH,131,-5.1,791,0,1,0,Invierno,LAX-IAH
5,4,AA,SEA,DEN,358,13.6,420,0,3,0,Primavera,SEA-DEN
5,5,HA,ATL,PHX,549,-6.0,1377,0,5,0,Primavera,ATL-PHX
10,6,AS,ATL,SEA,2147,39.0,2615,1,21,1,Otono,ATL-SEA
10,5,UA,LAS,LAX,250,-7.9,1513,0,2,0,Otono,LAS-LAX
1,4,B6,DFW,SFO,322,-5.0,1543,0,3,0,Invierno,DFW-SFO
3,5,AA,BOS,DFW,318,2.7,257,0,3,0,Primavera,BOS-DFW
2,7,UA,DEN,ORD,333,24.7,1490,1,3,1,Invierno,DEN-ORD
12,5,AA,DEN,BOS,1848,37.2,1984,1,18,0,Invierno,DEN-BOS
11,4,HA,ATL,BOS,2221,11.6,2678,0,22,0,Otono,ATL-BOS
8,5,WN,MCO,SEA,205,-11.5,902,0,2,0,Verano,MCO-SEA
6,2,B6,JFK,LAS,633,0.8,957,0,6,0,Verano,JFK-LAS
5,2,DL,PHX,DFW,347,14.2,1412,0,3,0,Primavera,PHX-DFW
4,4,F9,IAH,SEA,703,12.1,1811,0,7,0,Primavera,IAH-SEA
12,7,B6,DFW,JFK,1522,18.5,1708,1,15,1,Invierno,DFW-JFK
10,4,DL,ORD,SFO,1358,0.8,1845,0,13,0,Otono,ORD-SFO
11,3,AS,LAX,IAH,735,12.2,1050,0,7,0,Otono,LAX-IAH
8,5,OO,DFW,JFK,1425,-5.1,752,0,14,0,Verano,DFW-JFK
7,6,DL,LAS,MIA,519,6.5,2586,0,5,1,Verano,LAS-MIA
2,1,AS,MCO,JFK,723,9.5,1059,0,7,0,Invierno,MCO-JFK
11,1,AA,MIA,ORD,1029,2.8,2387,0,10,0,Otono,MIA-ORD
2,2,HA,DFW,ORD,223,3.0,2449,0,2,0,Invierno,DFW-ORD
9,6,UA,SFO,ATL,1401,-1.5,800,0,14,1,Otono,SFO-ATL
4,5,B6,LAX,SFO,1527,2.2,2285,0,15,0,Primavera,LAX-SFO
12,1,DL,MIA,LAS,921,-9.9,2346,0,9,0,Invierno,MIA-LAS
11,2,UA,JFK,ATL,420,-27.1,403,0,4,0,Otono,JFK-ATL
11,5,UA,ORD,LAX,508,1.7,1863,0,5,0,Otono,ORD-LAX
2,5,DL,MCO,LAS,805,-3.6,1121,0,8,0,Invierno,MCO-LAS
8,2,AA,MCO,DEN,1405,12.0,1382,0,14,0,Verano,MCO-DEN
7,6,AS,BOS,PHX,1929,31.0,243,1,19,1,Verano,BOS-PHX
7,2,WN,LAS,BOS,353,-14.0,868,0,3,0,Verano,LAS-BOS
1,6,AS,SFO,MCO,1817,11.8,1791,0,18,1,Invierno,SFO-MCO
6,4,UA,ATL,DFW,2341,24.3,1849,1,23,0,Verano,ATL-DFW
10,4,UA,LAX,LAS,249,10.8,367,0,2,0,Otono,LAX-LAS
7,1,UA,ORD,MIA,2323,35.1,296,1,23,0,Verano,ORD-MIA
6,7,UA,MIA,MCO,2301,12.4,2578,0,23,1,Verano,MIA-MCO
12,3,UA,BOS,MIA,641,-4.9,1592,0,6,0,Invierno,BOS-MIA
1,1,HA,PHX,MCO,859,-6.3,1173,0,8,0,Invierno,PHX-MCO
5,5,AS,LAX,ORD,1217,23.2,2122,1,12,0,Primavera,LAX-ORD
2,1,DL,MCO,SEA,106,-9.0,435,0,1,0,Invierno,MCO-SEA
12,3,UA,CLT,MIA,1953,26.1,987,1,19,0,Invierno,CLT-MIA
7,4,AA,MCO,ORD,2222,47.2,657,1,22,0,Verano,MCO-ORD
10,1,UA,DEN,MIA,617,-3.7,2335,0,6,0,Otono,DEN-MIA
